#CODE;ENGLISH;;;;;;;;;x 
ACQUISITION_CLAIM;Conquered as a Claimant;;;;;;;;;x 
EVTDESC_WOL_405_SIN;[From.GetFirstName] and I gave our souls to [Root.Religion.GetRandomEvilGodName] in the warm waters of that stream, lost in wicked sin. When we returned to the main party in the evening, grinning and squeaky clean, the servants came rushing. If only they knew... By [Root.Religion.GetRandomGodName] I hope they don't!;;;;;;;;;x 
EVTDESC_WOL_407;I asked [FromFrom.GetBestName] to help me woo [From.GetTitledFirstNameNoRegnal], but [FromFrom.GetSubjectPronoun] was not in the least sympathetic. In fact, I got the sense [FromFrom.GetSubjectPronoun] will be keeping an eye on me from now on...;;;;;;;;;x 
EVTOPTA_WOL_407;I should have left [From.GetFirstName] a note instead!;;;;;;;;;x 
EVTOPTB_WOL_407;I tire of this game;;;;;;;;;x 
EVTDESC_WOL_409;My [GetFromFromRelation] [FromFrom.GetBestName] has just informed me that [FromFromFrom.GetTitledName] tried to recruit [FromFrom.GetObjectPronoun] in a scheme to seduce my [GetFromRelation] [From.GetFirstName]!;;;;;;;;;x 
EVTOPTA_WOL_409_M;That randy goat!;;;;;;;;;x 
EVTOPTA_WOL_409_M_OLD;That randy old goat!;;;;;;;;;x 
EVTOPTA_WOL_409_F;That wanton trollop!;;;;;;;;;x 
EVTOPTA_WOL_409_F_OLD;That lascivious old witch!;;;;;;;;;x 
EVTDESC_WOL_412;The courtier I tried to recruit to help me seduce [From.GetTitledFirstNameNoRegnal] was not in the least sympathetic, and has even tipped off [From.GetPossPronoun] [GetFromVsFromFromFromRelation], gaining me a new Rival!;;;;;;;;;x 
EVTDESC_WOL_414;I spent most of the outing trying to charm [From.GetFirstName]'s friends, with little success. No one seemed willing to help me romance [From.GetObjectPronoun]...;;;;;;;;;x 
EVTOPTA_WOL_414;I don't give up that easily!;;;;;;;;;x 
EVTDESC_WOL_415;At a festive outing in the wild, I've found myself talking a lot to [From.GetTitledFirstNameNoRegnal]. I feel strangely attracted to the [GetRootFromCompliment]!;;;;;;;;;x 
EVTDESC_WOL_415_DISTANT;At a festive outing in the wild, I've been talking a lot to [From.GetTitledFirstNameNoRegnal], who is currently visiting our court. I find myself quite drawn to the [GetRootFromCompliment]!;;;;;;;;;x 
EVTDESC_WOL_416;Despite never getting a chance to be alone with [From.GetTitledFirstNameNoRegnal], I do believe my winning personality has impressed [From.GetObjectPronoun]!;;;;;;;;;x 
EVTOPTA_WOL_416;I need a new plan!;;;;;;;;;x 
EVTDESC_WOL_418;At a festive outing in the wild, I found a message surrounded by wildflowers in my tent! It says to meet [FromFrom.GetTitledFirstNameNoRegnal] by the stream, alone!;;;;;;;;;x 
EVTDESC_WOL_418_DISTANT;At a festive outing in the wild, I found a message surrounded by wildflowers in my tent! It says to meet our distant guest, [FromFrom.GetTitledFirstNameNoRegnal] by the stream, alone!;;;;;;;;;x 
EVTOPTA_WOL_418_F;How exciting! My maid can cover for me.;;;;;;;;;x 
EVTOPTA_WOL_418_M;How exciting! My friends can cover for me.;;;;;;;;;x 
EVTOPTB_WOL_418;I will take no risks for the likes of [FromFrom.GetFirstName]!;;;;;;;;;x 
EVTDESC_WOL_419;I didn't have to wait long for [From.GetTitledFirstNameNoRegnal] to show up by the nearby stream. We've spent hours chatting and laughing, and I do believe [From.GetSubjectPronoun] is falling for me! I lean in to whisper in [From.GetPossPronoun] ear...;;;;;;;;;x 
EVTDESC_WOL_404_NOTE;I snuck out of my tent and down to the stream. I found [From.GetTitledFirstNameNoRegnal] waiting, shining up when [From.GetSubjectPronoun] saw me. Hours must have passed while I laughed and talked with the [GetRootFromCompliment]. Suddenly, [From.GetSubjectPronoun] leans in and whispers softly in my ear...;;;;;;;;;x 
EVTDESC_WOL_404_HOMO_NOTE;I snuck out of my tent and down to the stream. I found [From.GetTitledFirstNameNoRegnal] waiting, shining up when [From.GetSubjectPronoun] saw me. Sitting on a cliff together after hours of friendly conversation, a strange tension has grown between us. Attraction? For another [From.GetManWoman]..?! As we get up to leave, [From.GetSubjectPronoun] suddenly leans in and whispers softly in my ear...;;;;;;;;;x 
EVTDESC_WOL_420;I've waited for hours by the stream, hoping that [From.GetTitledFirstNameNoRegnal] would be able to shake [From.GetPossPronoun] friends and chaperones to meet me, but the sun is about to set. [From.GetSubjectPronounCap] is clearly not coming.;;;;;;;;;x 
EVTDESC_WOL_421;At a festive outing in the wild, I found a message left amidst wildflowers addressed to my [GetFromFromFromRelation] [FromFromFrom.GetFirstName] in our tent! The would-be seducer, the [GetRootFromFromInsult] [FromFrom.GetTitledFirstName], is apparently waiting for [FromFromFrom.GetObjectPronoun] nearby.;;;;;;;;;x 
EVTOPTB_WOL_421;Guards! Arrest [FromFrom.GetObjectPronoun]!;;;;;;;;;x 
EVTDESC_WOL_423;Alas, the message I left in [From.GetTitledFirstNameNoRegnal]'s tent was found by her [GetFromVsFromFromRelation] [FromFrom.GetTitledFirstNameNoRegnal]. [FromFrom.GetSubjectPronounCap] was not amused... I am lucky I was not thrown in irons, but I have certainly made an enemy!;;;;;;;;;x 
EVTDESC_WOL_423_PRISON;Alas, the message I left in [From.GetTitledFirstNameNoRegnal]'s tent was found by her [GetFromVsFromFromRelation] [FromFrom.GetTitledFirstNameNoRegnal]. [FromFrom.GetSubjectPronounCap] came rushing down to the stream with six guards to arrest me!;;;;;;;;;x 
EVTOPTA_WOL_423;I like high stakes games!;;;;;;;;;x 
EVTOPTA_WOL_423_PRISON;Curses! I will try again when I get out!;;;;;;;;;x 
EVTDESC_WOL_424;At a festive outing in the wild, I found a message left amidst wildflowers addressed to my [GetFromFromFromRelation] [FromFromFrom.GetTitledFirstNameNoRegnal]. The would-be lover, [FromFrom.GetTitledFirstNameNoRegnal], is waiting for [FromFromFrom.GetObjectPronoun] by the stream near the camp...;;;;;;;;;x 
EVTOPTB_WOL_424;I must protect [FromFromFrom.GetFirstName] from such dangerous liaisons!;;;;;;;;;x 
EVTOPTC_WOL_424;The [GetRootFromFromCompliment][FromFrom.GetFirstName]? I'm going myself!;;;;;;;;;x 
EVTDESC_WOL_426;I waited by the stream for hours in vain. Back in the camp I noticed [From.GetFirstName]'s [GetFromVsFromFromRelation] staring at me angrily, shaking [FromFrom.GetPossPronoun] head. I guess my message was intercepted...;;;;;;;;;x 
EVTDESC_WOL_428;I didn't have to wait long by the river until a [FromFrom.GetMaleFemale] figure showed up among the trees... But it wasn't [From.GetTitledFirstNameNoRegnal], but [From.GetPossPronoun] [GetFromVsFromFromRelation] [FromFrom.GetTitledFirstNameNoRegnal]! As it turns out, the [GetRootFromFromCompliment] is looking for a casual dalliance.;;;;;;;;;x 
EVTOPTA_WOL_428;I think I can help...;;;;;;;;;x 
EVTOPTB_WOL_428;Thank you, my [FromFrom.GetLordLady], but no!;;;;;;;;;x 
EVTTOOLTIP_WoL_430;[This.GetFirstName] is frustrated and not likely to think better of me...;;;;;;;;;x 
EVTDESC_WOL_429;I met the amorous [From.GetTitledFirstNameNoRegnal] down by the river. [From.GetSubjectPronounCap] was surprised to see me instead of [FromFrom.GetTitledFirstNameNoRegnal], but it did not take much to cajole the [GetRootFromCompliment]. We spent a magical afternoon of passion in the water and under the willows.;;;;;;;;;x 
EVTOPTA_WOL_429;I needed that!;;;;;;;;;x 
EVTDESC_WOL_430;I met the amorous [From.GetTitledFirstNameNoRegnal] down by the river. [From.GetSubjectPronounCap] was surprised to see me instead of [FromFrom.GetTitledFirstNameNoRegnal], to say the least! Unfortunately, my assets and charm were not enough to cajole the [GetRootFromInsult]!;;;;;;;;;x 
EVTOPTA_WOL_430;[From.GetSubjectPronounCap] will regret this!;;;;;;;;;x 
EVTDESC_WOL_1003;The late nights, the way my [GetFromFromRelation] [FromFrom.GetFirstName] has stopped touching me - or even looking at me - and now the whispers of [FromFrom.GetObjectPronoun] and that [GetRootFromInsult] [From.GetBestName]... I can't take it anymore!;;;;;;;;;x 
EVTDESC_WOL_1003_CR;My [GetFromFromRelation] [FromFrom.GetFirstName] has stopped touching me, or even looking at me. There is something not right about the way [FromFrom.GetFirstName] and [FromFrom.GetPossPronoun] [GetFromFromVsFromRelation] [From.GetTitledFirstNameNoRegnal] hold hands, about their long walks in the forest... It sickens me.;;;;;;;;;x 
EVTDESC_WOL_1003_TIP;I received a message today, from [FromFromFrom.GetTitledName]. [FromFromFrom.GetSubjectPronounCap] tells me that [FromFromFrom.GetPossPronoun] suspects that her spouse, [From.GetTitledFirstNameNoRegnal] and my [GetFromFromRelation] [FromFrom.GetFirstName] are having an affair, but that there is nothing more [FromFromFrom.GetSubjectPronoun] dares do about it!;;;;;;;;;x 
EVTOPTA_WOL_1003;Confront [FromFrom.GetFirstName]!;;;;;;;;;x 
EVTOPTB_WOL_1003_M;Confront [From.GetTitledFirstNameNoRegnal]!;;;;;;;;;x 
EVTOPTB_WOL_1003_F;Confront the harlot, [From.GetTitledFirstNameNoRegnal]!;;;;;;;;;x 
EVTOPTC_WOL_1003;Focus on more important matters;;;;;;;;;x 
EVTOPTC_WOL_1003_HOMO_F;Women lovers? Let them play...;;;;;;;;;x 
EVTDESC_WOL_1004;My [GetFromRelation] [From.GetFirstName] just asked me if I'm having an affair with [FromFrom.GetTitledName]. [From.GetPossPronounCap] stony expression does not reveal whether [From.GetSubjectPronoun] knows or is only guessing...;;;;;;;;;x 
EVTOPTA_WOL_1004;Tearfully confess and ask forgiveness;;;;;;;;;x 
EVTOPTB_WOL_1004;Admit it, but refuse to break up with [FromFrom.GetFirstName];;;;;;;;;x 
EVTOPTC_WOL_1004;Lie to [From.GetPossPronoun] face;;;;;;;;;x 
EVTOPTD_WOL_1004;Lie and make [From.GetObjectPronoun] feel guilty for asking!;;;;;;;;;x 
EVTTOOLTIP_WoL_1005;My affair with [This.GetTitledFirstNameNoRegnal] is ended;;;;;;;;;x 
EVTDESC_WOL_1005;My lover, [From.GetTitledFirstNameNoRegnal] just broke up with me! Apparently, [From.GetPossPronoun] jealous [GetFromVsFromFromRelation] confronted [From.GetObjectPronoun] about our affair...;;;;;;;;;x 
EVTOPTA_WOL_1005_F;That meddling witch!;;;;;;;;;x 
EVTOPTA_WOL_1005_M;That accursed blackguard!;;;;;;;;;x 
EVTTOOLTIP_WoL_1006;[This.GetFirstName] is upset;;;;;;;;;x 
EVTTOOLTIP_WoL_1009;[This.GetFirstName] is upset and might overreact...;;;;;;;;;x 
EVTTOOLTIP_WoL_1022;[This.GetFirstName] responds to my lies...;;;;;;;;;x 
EVTTOOLTIP_WoL_1010;[This.GetFirstName] is manipulated;;;;;;;;;x 
EVTDESC_WOL_1006;My [GetFromRelation] [From.GetFirstName] tearfully admitted to [From.GetPossPronoun] affair with [FromFromFrom.GetTitledFirstNameNoRegnal] and is begging me for forgiveness on [From.GetPossPronoun] bare knees...;;;;;;;;;x 
EVTOPTA_WOL_1006;Very well, but I am deeply disappointed.;;;;;;;;;x 
EVTOPTB_WOL_1006;Never! Denounce them both publicly!;;;;;;;;;x 
EVTDESC_WOL_1007;The jealous [GetFromFromVsFromRelation] of my lover [FromFrom.GetTitledFirstNameNoRegnal] has denounced us both as adulterers publicly!;;;;;;;;;x 
EVTDESC_WOL_1007_LOVER_ADM;The [GetRootFromInsult] [From.GetTitledFirstNameNoRegnal] would not accept my sincere apology, but has chosen to denounce both me and [From.GetPossPronoun] [GetFromVsFromFromRelation] [FromFrom.GetTitledFirstNameNoRegnal] publicly as adulterers!;;;;;;;;;x 
EVTDESC_WOL_1007_SPYING;[From.GetTitledFirstNameNoRegnal] hired spies to observe me and [From.GetPossPronoun] [GetFromVsFromFromRelation] [FromFrom.GetTitledFirstNameNoRegnal]. They uncovered our love affair, and the [GetRootFromInsult] has chosen to expose our adultery to the public!;;;;;;;;;x 
EVTDESC_WOL_1008;My wrathful [GetFromRelation] [From.GetFirstName] would not accept my sincere apologies no matter what I said. [From.GetSubjectPronounCap] has denounced me and my lover [FromFromFromFrom.GetTitledFirstNameNoRegnal] publicly.;;;;;;;;;x 
EVTDESC_WOL_1008_CRUEL;My spiteful [GetFromRelation] [From.GetFirstName] did not take my frank declaration of love for my [GetFromFromFromFromRelation] [FromFromFromFrom.GetTitledFirstNameNoRegnal] well at all. The [GetRootFromInsult] has denounced us both publicly.;;;;;;;;;x 
EVTDESC_WOL_1009;My cheating [GetFromRelation] - the [GetRootFromInsult] - just smirked and openly admitted to having an affair with [FromFromFrom.GetTitledName]!;;;;;;;;;x 
EVTOPTA_WOL_1009_M;It's a man's world. I'll just have to swallow my pride.;;;;;;;;;x 
EVTOPTA_WOL_1009_F;I can't afford a scandal right now...;;;;;;;;;x 
EVTOPTB_WOL_1009;Denounce them both publicly!;;;;;;;;;x 
EVTDESC_WOL_1022;My [GetFromRelation] [From.GetFirstName] vehemently denies having an affair with [FromFromFrom.GetTitledFirstNameNoRegnal] and promises to spend more time with me.;;;;;;;;;x 
EVTOPTA_WOL_1022;That's a relief, but I still have doubts...;;;;;;;;;x 
EVTOPTB_WOL_1022;[FromFromFrom.GetFirstName] is married too. Ask [FromFromFrom.GetPossPronoun] spouse [FromFromFrom.Spouse.GetTitledFirstNameNoRegnal] to investigate.;;;;;;;;;x 
EVTOPTC_WOL_1022;Pay to have them both watched;;;;;;;;;x 
EVTTOOLTIP_WoL_1023;[This.Spouse.GetFirstName] is tipped off.;;;;;;;;;x 
EVTDESC_WOL_1025;[From.GetTitledFirstNameNoRegnal] thanks me for making [From.GetObjectPronoun] aware of our spouses' possible cheating, and for my discretion. [From.GetSubjectPronounCap] promises to look into the matter...;;;;;;;;;x 
EVTOPTA_WOL_1025;I hope that's all there is to it!;;;;;;;;;x 
EVTDESC_WOL_1027;My spies have carefully observed my [GetFromFromFromRelation] [FromFromFrom.GetFirstName] and [From.GetTitledFirstNameNoRegnal], and as far as they can determine, they are not having an affair.;;;;;;;;;x 
EVTDESC_WOL_1028;My spies report that they caught my [GetFromFromFromRelation] and [FromFromFrom.GetPossPronoun] lover, [From.GetTitledFirstNameNoRegnal] 'in flagrante delicto' in a glade near [From.Location.Capital.GetName]!;;;;;;;;;x 
EVTOPTA_WOL_1028;No! But... I don't want a scandal.;;;;;;;;;x 
EVTOPTB_WOL_1028;Filth! Denounce them both publicly!;;;;;;;;;x 
EVTDESC_WOL_1031;My suspicious [GetFromRelation] [From.GetFirstName] did not believe my denials and hired spies to uncover my love affair with [FromFrom.GetTitledFirstNameNoRegnal]. [From.GetSubjectPronounCap] has denounced us both publicly!;;;;;;;;;x 
EVTDESC_WOL_1010_F;[From.GetFirstName] got angry when I confronted her about her rumored affair with [FromFromFrom.GetTitledName], saying she lives in a prison and that I am denying her even the most basic freedoms.;;;;;;;;;x 
EVTDESC_WOL_1010_M;[From.GetFirstName] got angry when I confronted him about his rumored affair with [FromFromFrom.GetTitledName], saying I have grown cold and distant and only greet him with mistrust.;;;;;;;;;x 
EVTDESC_WOL_1033;[From.GetBestName], the [GetFromFromFromVsFromRelation] of my lover [FromFromFrom.GetTitledFirstNameNoRegnal], shocked me by asking me to my face if we're having an affair!;;;;;;;;;x 
EVTDESC_WOL_1033_DISTANT;[From.GetBestName], the [GetFromFromFromVsFromRelation] of my lover [FromFromFrom.GetTitledFirstNameNoRegnal] has sent me a letter asking me directly if we're having an affair!;;;;;;;;;x 
EVTOPTA_WOL_1033;Flatly deny;;;;;;;;;x 
EVTOPTB_WOL_1033;Confess and promise to end the affair;;;;;;;;;x 
EVTOPTC_WOL_1033_F;I will kill the bitch!;;;;;;;;;x 
EVTOPTC_WOL_1033_M;The [GetRootFromInsult]! I will kill him!;;;;;;;;;x 
EVTTOOLTIP_WoL_1011_ATTACK;[From.GetTitledFirstNameNoRegnal] is attacked and hopefully hurt badly!;;;;;;;;;x 
EVTDESC_WOL_1012;[FromFrom.GetTitledFirstNameNoRegnal] acts shocked and denies having an affair with my [GetFromRelation] [From.GetFirstName].;;;;;;;;;x 
EVTDESC_WOL_1012_ATTACKED;When questioned about [FromFrom.GetPossPronoun] affair with my [GetFromRelation] [From.GetFirstName], [FromFrom.GetTitledFirstNameNoRegnal] flew into a rage and physically assaulted me!;;;;;;;;;x 
EVTOPTA_WOL_1012;Oh. Ok then.;;;;;;;;;x 
EVTOPTA_WOL_1012_ATTACKED;Such fury must mean innocence... right?;;;;;;;;;x 
EVTOPTB_WOL_1012;I don't need proof when I have poison!;;;;;;;;;x 
EVTTOOLTIP_WoL_1013;Poison [This.GetFirstName] at the first opportunity.;;;;;;;;;x 
EVTOPTC_WOL_1012_DUEL;Our blades will decide [FromFrom.GetPossPronoun] guilt!;;;;;;;;;x 
EVTTOOLTIP_WoL_1032;[This.GetFirstName] is challenged to a duel.;;;;;;;;;x 
EVTDESC_WOL_1014;What a lovely evening! Good food, good entertainment and the company of friends. But... I don't feel so good. I can't breathe. I CAN'T BREATHE!;;;;;;;;;x 
EVTOPTA_WOL_1014;[FromFrom.GetTitledFirstNameNoRegnal], I curse you with my dying breath!;;;;;;;;;x 
EVTDESC_WOL_1015;What a lovely evening! Good food, good entertainment and the company of friends. But... I don't feel so good. Have I been poisoned?;;;;;;;;;x 
EVTOPTA_WOL_1015;Poison or bad shellfish?;;;;;;;;;x 
EVTDESC_WOL_1016;The filthy [From.GetAdultererAdulteress], [From.GetTitledFirstNameNoRegnal], did not eat the poisoned shellfish, though I hear some kitchen boy died later that night.;;;;;;;;;x 
EVTOPTA_WOL_1016;May [Root.Religion.GetRandomEvilGodName] curse [From.GetObjectPronoun]!;;;;;;;;;x 
EVTDESC_WOL_1017;I watched from the gallery as the dirty [From.GetAdultererAdulteress], [From.GetTitledFirstNameNoRegnal], lay choking to death, servants milling about trying to help. In vain, of course...;;;;;;;;;x 
EVTOPTA_WOL_1017;I hope my [FromFromFromFrom.GetHusbandWife] gets the hint!;;;;;;;;;x 
EVTDESC_WOL_1018;The filthy [From.GetAdultererAdulteress], [From.GetTitledFirstNameNoRegnal], did not die of the poison, but at least [From.GetSubjectPronoun] got ill.;;;;;;;;;x 
EVTOPTA_WOL_1018;I need to have a serious talk with that apothecary;;;;;;;;;x 
EVTDESC_WOL_1019;My lover, [From.GetTitledFirstNameNoRegnal], just broke up with me! Apparently, [From.GetSubjectPronoun] was confronted by my suspicious [GetFromFromRelation] [FromFrom.GetFirstName] and promised to stay away.;;;;;;;;;x 
EVTDESC_WOL_1019_DUEL;Challenged to a duel by my furious [GetFromFromRelation] [FromFrom.GetFirstName], my lover, [From.GetTitledFirstNameNoRegnal], decided to admit [From.GetPossPronoun] guilt and break up with me!;;;;;;;;;x 
EVTOPTA_WOL_1019;How will I live without [From.GetFirstName]?;;;;;;;;;x 
EVTDESC_WOL_1020;The [GetRootFromFromInsult] [FromFrom.GetTitledFirstNameNoRegnal] admits to having an affair with my [GetFromRelation] [From.GetFirstName], sincerely asking for forgiveness and promising to stay away from my [GetFromRelation].;;;;;;;;;x 
EVTOPTA_WOL_1020;Very well, I can be the greater [Root.GetManWoman].;;;;;;;;;x 
EVTDESC_WOL_1021;In spite of my lover's abasement and apologies, my wrathful [GetFromRelation] [From.GetFirstName] has chosen to shame me and [FromFromFrom.GetTitledFirstNameNoRegnal] publicly as adulterers!;;;;;;;;;x 
EVTDESC_WOL_1032;The furious [From.GetTitledFirstNameNoRegnal] does not accept my profuse denials and has challenged me to a duel to determine my guilt and that of [From.GetPossPronoun] [GetFromVsFromFromRelation], my lover, [FromFrom.GetTitledFirstNameNoRegnal]!;;;;;;;;;x 
EVTOPTA_WOL_1032;Challenge accepted!;;;;;;;;;x 
EVTOPTB_WOL_1032;A duel? What farce, what mummery!;;;;;;;;;x 
EVTOPTC_WOL_1032;I am no fighter. Beg forgiveness.;;;;;;;;;x 
EVTDESC_WOL_1034;The cowardly [From.GetTitledFirstNameNoRegnal] refuses to fight me!;;;;;;;;;x 
EVTOPTA_WOL_1034;A smear on [From.GetPossPronoun] honor!;;;;;;;;;x 
EVTDESC_WOL_1036;After a few probing exchanges, I realized that [FromFrom.GetTitledFirstNameNoRegnal] was no master of the blade. I defeated [FromFrom.GetObjectPronoun] easily, proving [FromFrom.GetPossPronoun] guilt, and that of my [GetFromFromFromFromRelation] [FromFromFromFrom.GetFirstName]...;;;;;;;;;x 
EVTDESC_WOL_1036_WOUND;The duel with [FromFrom.GetTitledFirstNameNoRegnal] was hard fought, but in the end I proved the better [Root.GetManWoman]. Though [FromFrom.GetSubjectPronoun] managed to cut me, I have proven [FromFrom.GetPossPronoun] guilt, and that of my [GetFromFromFromFromRelation] [FromFromFromFrom.GetFirstName].;;;;;;;;;x 
EVTDESC_WOL_1036_MAIM;[FromFrom.GetTitledFirstNameNoRegnal] proved to be a formidable opponent. Though I won in the end, I lost three fingers and took several wounds in the process. I have proven [FromFrom.GetPossPronoun] guilt, and that of my [GetFromFromFromFromRelation] [FromFromFromFrom.GetFirstName]!;;;;;;;;;x 
EVTOPTA_WOL_1036;I allowed [FromFrom.GetObjectPronoun] to yield unscathed, having lost [FromFrom.GetPossPronoun] sword;;;;;;;;;x 
EVTOPTB_WOL_1036;[FromFrom.GetSubjectPronoun] yielded after I pierced [FromFrom.GetPossPronoun] shoulder;;;;;;;;;x 
EVTOPTC_WOL_1036;Bleeding from several cuts, [FromFrom.GetSubjectPronoun] yielded only when I took [FromFrom.GetPossPronoun] hand off!;;;;;;;;;x 
EVTOPTD_WOL_1036;I pierced [FromFrom.GetPossPronoun] heart. A suitable end to the [GetRootFromInsult]!;;;;;;;;;x 
EVTDESC_WOL_1037;My brutish [GetFromRelation] [From.GetFirstName] defeated my beloved [FromFromFrom.GetTitledFirstNameNoRegnal] in a duel, thus proving our guilt.;;;;;;;;;x 
EVTDESC_WOL_1037_WOUND;My brutish [GetFromRelation] [From.GetFirstName] defeated and wounded my beloved [FromFromFrom.GetTitledFirstNameNoRegnal] in a duel, thus proving our guilt.;;;;;;;;;x 
EVTDESC_WOL_1037_MAIM;My vicious [GetFromRelation] [From.GetFirstName] defeated and maimed my beloved [FromFromFrom.GetTitledFirstNameNoRegnal] in a duel, thus proving our guilt.;;;;;;;;;x 
EVTDESC_WOL_1037_DEATH;My monster of a [GetFromRelation], the [GetRootFromInsult] [From.GetFirstName], slew my beloved [FromFromFrom.GetTitledFirstNameNoRegnal] in a duel, proving our guilt. I, at least, will have to live with the shame.;;;;;;;;;x 
EVTOPTA_WOL_1037;We must atone for our sins...;;;;;;;;;x 
EVTOPTB_WOL_1037;How cruel is the world!?;;;;;;;;;x 
EVTDESC_WOL_1038;Though I fought hard, the vengeful [FromFrom.GetTitledFirstNameNoRegnal] defeated me in a fair duel, thus proving me and my lover [From.GetFirstName] guilty of adultery. We are shamed.;;;;;;;;;x 
EVTDESC_WOL_1038_WOUND;The vengeful [FromFrom.GetTitledFirstNameNoRegnal] defeated me in a fair duel. I had to yield after being pierced in the shoulder, thus proving me and my lover [From.GetFirstName] guilty of adultery. We are shamed.;;;;;;;;;x 
EVTDESC_WOL_1038_MAIM;The vengeful [FromFrom.GetTitledFirstNameNoRegnal] took my hand off in the vicious duel, thus proving me and my lover [From.GetFirstName] guilty of adultery. Maimed and bleeding from many lesser cuts, I will have to accept our humiliation.;;;;;;;;;x 
EVTDESC_WOL_1038_DEATH;I fought [FromFrom.GetTitledFirstNameNoRegnal] hard for what seemed like hours, but just when I finally saw an opening, [FromFrom.GetSubjectPronoun] pierced my heart. Darkness descends.;;;;;;;;;x 
EVTOPTA_WOL_1038;[Root.Religion.GetRandomGodNameCap] has judged us fairly. We must atone.;;;;;;;;;x 
EVTOPTB_WOL_1038;Curse [FromFrom.GetObjectPronoun]! I will have my revenge!;;;;;;;;;x 
EVTOPTC_WOL_1038;[From.GetFirstName], I have shamed you...;;;;;;;;;x 
EVTDESC_WOL_1039;After a few probing exchanges, I realized that [From.GetTitledFirstNameNoRegnal] was no master of the blade. I defeated [From.GetObjectPronoun] easily, proving my innocence and that of my [GetFromFromFromFromRelation] [FromFromFromFrom.GetFirstName].;;;;;;;;;x 
EVTDESC_WOL_1039_WOUND;The duel with [From.GetTitledFirstNameNoRegnal] was hard fought, but in the end I proved the better [Root.GetManWoman]. Though [From.GetSubjectPronoun] managed to cut me, I have proven my innocence and that of my [GetFromFromFromFromRelation] [FromFromFromFrom.GetFirstName].;;;;;;;;;x 
EVTDESC_WOL_1039_MAIM;[From.GetTitledFirstNameNoRegnal] proved to be a formidable opponent. Though I won in the end, I lost three fingers and took several wounds in the process. I have proven my innocence and that of my [GetFromFromFromFromRelation] [FromFromFromFrom.GetFirstName]!;;;;;;;;;x 
EVTDESC_WOL_1040;My valiant [GetFromRelation] [From.GetTitledFirstNameNoRegnal] defeated my brutish [GetFromFromRelation] [FromFrom.GetFirstName] in a duel, thus proving our innocence.;;;;;;;;;x 
EVTDESC_WOL_1040_WOUND;My valiant [GetFromRelation] [From.GetTitledFirstNameNoRegnal] defeated and wounded my brutish [GetFromFromRelation] [FromFrom.GetFirstName] in a duel, thus proving our innocence.;;;;;;;;;x 
EVTDESC_WOL_1040_MAIM;My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] defeated my [GetFromFromRelation] [FromFrom.GetFirstName] in a duel, cutting off his hand in the process. Our innocence has been proven.;;;;;;;;;x 
EVTDESC_WOL_1040_DEATH;My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] defended our honor by slaying my [GetFromFromRelation] [FromFrom.GetFirstName] in a duel. Our innocence has been proven.;;;;;;;;;x 
EVTOPTA_WOL_1040;[Root.Religion.GetRandomGodNameCap] favors our love!;;;;;;;;;x 
EVTOPTB_WOL_1040;May [Root.Religion.GetRandomGodName] forgive us!;;;;;;;;;x 
EVTDESC_WOL_1041;I fought hard, full of righteous fury, yet [FromFrom.GetTitledFirstNameNoRegnal] disarmed and defeated me in a fair duel, thus proving [FromFrom.GetPossPronoun] innocence, and that of my [GetFromRelation] [From.GetFirstName].;;;;;;;;;x 
EVTDESC_WOL_1041_WOUND;I fought hard, full of righteous fury, yet [FromFrom.GetTitledFirstNameNoRegnal] cut me again and again. Bleeding profusely, I had to yield. [Root.Religion.GetRandomGodNameCap] has proven [FromFrom.GetPossPronoun] innocence, and that of my [GetFromRelation] [From.GetFirstName].;;;;;;;;;x 
EVTDESC_WOL_1041_MAIM;[FromFrom.GetTitledFirstNameNoRegnal] cut me again and again, but I refused to yield. Suddenly, sun blinding me from the glare in [FromFrom.GetPossPronoun] blade, [FromFrom.GetSubjectPronoun] chopped my hand right off! [Root.Religion.GetRandomGodNameCap] has proven [FromFrom.GetPossPronoun] innocence, and that of my [GetFromRelation] [From.GetFirstName].;;;;;;;;;x 
EVTDESC_WOL_1041_DEATH;I fought [FromFrom.GetTitledFirstNameNoRegnal] hard for what seemed like hours, but when my righteous fury gave way to exhaustion, [FromFrom.GetSubjectPronoun] pierced my heart. Darkness descends.;;;;;;;;;x 
EVTOPTA_WOL_1041;[Root.Religion.GetRandomGodNameCap] has judged them fairly. [From.GetFirstName] forgive me.;;;;;;;;;x 
EVTOPTC_WOL_1041;[Root.Religion.GetRandomGodNameCap] judge me fairly!;;;;;;;;;x 
EVTDESC_WOL_1102;I woke up this morning and realized that I have lost my feelings for my [GetFromRelation] [From.GetTitledFirstNameNoRegnal].;;;;;;;;;x 
EVTOPTA_WOL_1102;Such is life. I should tell [From.GetObjectPronoun].;;;;;;;;;x 
EVTOPTB_WOL_1102;We are [GetFromRelation] and [GetFromReverseRelation]. What need for love?;;;;;;;;;x 
EVTOPTC_WOL_1102;I will rekindle our love!;;;;;;;;;x 
