#CODE;ENGLISH;;;;;;;;;x 
#MODIFIER_COMBAT_RATING;Combat Rating;;;;;;;;;x 
CR_DIFF_LOWER_THAN;Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;;;;;;;;;x 
EVTOPTA_WoL_5065;Of course...;;;;;;;;;x 
EVTOPTB_WoL_5065;I really shouldn't.;;;;;;;;;x 
EVTOPTC_WoL_5065;It's a trap! Attack!;;;;;;;;;x 
EVTDESC_WoL_5066;The next morning, you awake with a warm body next to you. You spent a long, pleasant night in the cabin but it's time to get back to the world outside. Your companion looks you in the eyes, caresses you and asks you to stay a little longer...;;;;;;;;;x 
EVTOPTA_WoL_5066;This was nice, but I have to go.;;;;;;;;;x 
EVTOPTB_WoL_5066;Come back to court with me!;;;;;;;;;x 
CONFIRM_CANCEL_PLOT_TITLE;Abandon Plot;;;;;;;;;x 
CONFIRM_CANCEL_PLOT_DESC;Abandon the plot to $PLOT$?;;;;;;;;;x 
CANCEL_PLOT;Cancel Plot;;;;;;;;;x 
CANNOT_CANCEL_PLOT;This plot cannot be cancelled.;;;;;;;;;x 
CONFIRM_CANCEL_FOCUS_TITLE;Abandon Focus;;;;;;;;;x 
CONFIRM_CANCEL_FOCUS_DESC;Abandon the $PLOT$ focus?;;;;;;;;;x 
CANCEL_FOCUS_EFFECT;$CHAR$ loses the §Y$OBJECTIVE$§! focus;;;;;;;;;x 
CANCEL_FOCUS;Cancel Focus;;;;;;;;;x 
CANNOT_CANCEL_FOCUS;This focus cannot be cancelled.;;;;;;;;;x 
NO_VALID_FOCUS;No Valid Focus;;;;;;;;;x 
CHOOSE_FOCUS;§GClick to Choose a Focus§!;;;;;;;;;x 
VASSAL_LIMIT_NOT_USED_BY_TIER;Characters of a tier this low do not use vassal limit.;;;;;;;;;x 
pet_hunting_dog;Hunting Dog;;;;;;;;;x 
pet_hunting_dog_desc;Your faithful hunting dog was given to you as a puppy and raised in your care. He is your most loyal servant and companion.;;;;;;;;;x 
EVTDESC_WoL_5202;Your [GetFromRelation], [From.GetTitledFirstName], has sent you a gift. It is a small puppy, but of the finest pedigree and destined to grow into a great hunting dog.;;;;;;;;;x 
EVTOPTA_WoL_5202;I will accept this gracious gift.;;;;;;;;;x 
EVTOPTB_WoL_5202;Send it back.;;;;;;;;;x 
EVTOPTC_WoL_5202;Pay someone to quietly dispose of it...;;;;;;;;;x 
EVTDESC_WoL_5203;Your new puppy has no name yet, my [Root.GetLordLady]. What will you call it?;;;;;;;;;x 
EVTOPTA_WoL_5203;Faithful.;;;;;;;;;x 
EVTOPTB_WoL_5203;Hunter.;;;;;;;;;x 
EVTOPTC_WoL_5203;Tricky.;;;;;;;;;x 
EVTOPTD_WoL_5203;Lucifer.;;;;;;;;;x 
EVTOPTE_WoL_5203;Shaytan.;;;;;;;;;x 
EVTOPTF_WoL_5203;Fenrir.;;;;;;;;;x 
EVTOPTG_WoL_5203;Erlik.;;;;;;;;;x 
EVTOPTH_WoL_5203;Velnias.;;;;;;;;;x 
EVTOPTI_WoL_5203;Tuoni.;;;;;;;;;x 
EVTOPTJ_WoL_5203;Xolotl.;;;;;;;;;x 
EVTOPTK_WoL_5203;Veles.;;;;;;;;;x 
EVTOPTL_WoL_5203;Guruhi.;;;;;;;;;x 
EVTOPTM_WoL_5203;Darkness.;;;;;;;;;x 
EVTOPTN_WoL_5203;Ahriman.;;;;;;;;;x 
EVTOPTO_WoL_5203;Satan.;;;;;;;;;x 
EVTOPTP_WoL_5203;Vinayaka.;;;;;;;;;x 
EVTOPTQ_WoL_5203;Mara.;;;;;;;;;x 
EVTOPTR_WoL_5203;Punisher.;;;;;;;;;x 
EVTDESC_WoL_5204_good;Your dog is growing quickly and is no longer a little puppy. He runs fast and has a keen nose, and your dog handlers praise his good character.;;;;;;;;;x 
EVTDESC_WoL_5204_bad;Your dog is growing quickly and is no longer a little puppy. He runs fast and has a keen nose. He bites hard too, as several of the dog handlers can testify.;;;;;;;;;x 
EVTOPTA_WoL_5204;Good dog!;;;;;;;;;x 
EVTOPTB_WoL_5204;Hmm...;;;;;;;;;x 
opinion_nice_dog;Nice dog;;;;;;;;;x 
opinion_nice_dog_children;Nice dog;;;;;;;;;x 
EVTDESC_WoL_5210;Your faithful hunting dog is always around, and always happy to see you. It is good to have such a faithful friend.;;;;;;;;;x 
EVTOPTA_WoL_5210;If only people were as trustworthy.;;;;;;;;;x 
EVTDESC_WoL_5211;Everyone at court loves your dog. Especially the children find much joy in playing with him.;;;;;;;;;x 
EVTOPTA_WoL_5211;And he loves them.;;;;;;;;;x 
EVTDESC_WoL_5220;Your hunting dog needs proper training if he is to perform well during hunts. Perhaps you should take a hand in this yourself?;;;;;;;;;x 
EVTOPTA_WoL_5220;Yes, I will train him personally.;;;;;;;;;x 
EVTOPTB_WoL_5220;No, I have people employed for that.;;;;;;;;;x 
trains_dog;You will spend time outside training your dog.;;;;;;;;;x 
EVTDESC_WoL_5221;In the past months you have been spending a lot of time outside, training your trusty hunting dog. You find that the combination of daily physical exercise and fresh air are doing wonders for your health and constitution.;;;;;;;;;x 
EVTOPTA_WoL_5221;Faithful, catch!;;;;;;;;;x 
EVTOPTB_WoL_5221;Hunter, catch!;;;;;;;;;x 
EVTOPTC_WoL_5221;Tricky, catch!;;;;;;;;;x 
EVTOPTD_WoL_5221;Lucifer, catch!;;;;;;;;;x 
EVTOPTE_WoL_5221;Shaytan, catch!;;;;;;;;;x 
EVTOPTF_WoL_5221;Fenrir, catch!;;;;;;;;;x 
EVTOPTG_WoL_5221;Erlik, catch!;;;;;;;;;x 
EVTOPTH_WoL_5221;Velnias, catch!;;;;;;;;;x 
EVTOPTI_WoL_5221;Tuoni, catch!;;;;;;;;;x 
EVTOPTJ_WoL_5221;Xolotl, catch!;;;;;;;;;x 
EVTOPTK_WoL_5221;Veles, catch!;;;;;;;;;x 
EVTOPTL_WoL_5221;Guruhi, catch!;;;;;;;;;x 
EVTOPTM_WoL_5221;Darkness, catch!;;;;;;;;;x 
EVTOPTN_WoL_5221;Ahriman, catch!;;;;;;;;;x 
EVTOPTO_WoL_5221;Satan, catch!;;;;;;;;;x 
EVTOPTP_WoL_5221;Vinayaka, catch!;;;;;;;;;x 
EVTOPTQ_WoL_5221;Mara, catch!;;;;;;;;;x 
EVTOPTR_WoL_5221;Punisher, catch!;;;;;;;;;x 
EVTDESC_WoL_5230;Your hunting dog ran away and went roaming the castle. He was very aggressive, chasing several servants and sending them fleeing in terror. He then came upon the favorite dog of one of your courtiers and attacked it and killed it.;;;;;;;;;x 
EVTDESC_WoL_5231;Today at court, your hunting dog suddenly started raging, tore loose and attacked one of your courtiers!;;;;;;;;;x 
EVTOPTA_WoL_5231;Heel!;;;;;;;;;x 
EVTOPTB_WoL_5231;Kill! Kill!;;;;;;;;;x 
EVTDESC_WoL_5290;Your faithful and trusted hunting dog has finally taken his last breath. Long has he served you since you first received him as a puppy, but now it's time to bury your old friend.;;;;;;;;;x 
EVTOPTA_WoL_5290;I will bury him quietly in the castle garden.;;;;;;;;;x 
EVTOPTB_WoL_5290;He deserves a proper funeral.;;;;;;;;;x 
EVTOPTC_WoL_5290;A pyramid for Faithful!;;;;;;;;;x 
EVTOPTD_WoL_5290;A pyramid for Hunter!;;;;;;;;;x 
EVTOPTE_WoL_5290;A pyramid for Tricky!;;;;;;;;;x 
EVTOPTF_WoL_5290;A pyramid for Lucifer!;;;;;;;;;x 
EVTOPTG_WoL_5290;A pyramid for Shaytan!;;;;;;;;;x 
EVTOPTH_WoL_5290;A pyramid for Fenrir!;;;;;;;;;x 
EVTOPTI_WoL_5290;A pyramid for Erlik!;;;;;;;;;x 
EVTOPTJ_WoL_5290;A pyramid for Velnias!;;;;;;;;;x 
EVTOPTK_WoL_5290;A pyramid for Tuoni!;;;;;;;;;x 
EVTOPTL_WoL_5290;A pyramid for Xolotl!;;;;;;;;;x 
EVTOPTM_WoL_5290;A pyramid for Veles!;;;;;;;;;x 
EVTOPTN_WoL_5290;A pyramid for Guruhi!;;;;;;;;;x 
EVTOPTO_WoL_5290;A pyramid for Darkness!;;;;;;;;;x 
EVTOPTP_WoL_5290;A pyramid for Ahriman!;;;;;;;;;x 
EVTOPTQ_WoL_5290;A pyramid for Satan!;;;;;;;;;x 
EVTOPTR_WoL_5290;A pyramid for Vinayaka!;;;;;;;;;x 
EVTOPTS_WoL_5290;A pyramid for Mara!;;;;;;;;;x 
EVTOPTT_WoL_5290;A pyramid for Punisher!;;;;;;;;;x 
CHARVIEW_DIPLOMATIC_RELATIONS;Diplomacy:;;;;;;;;;x 
BUILDING_CHECKSUM;Building Checksum...;;;;;;;;;x 
invite_to_party;Invite to Carousing;;;;;;;;;x 
invite_to_party_desc;Invite [Root.GetTitledFirstName] to a private feast.;;;;;;;;;x 
organizing_party;Preparing a Small Feast;;;;;;;;;x 
organizing_party_desc;This character is preparing a small feast. This is a private function as opposed to the public court feasts.;;;;;;;;;x 
opinion_declined_party;Declined Invitation;;;;;;;;;x 
opinion_carousing;Carousing;;;;;;;;;x 
party_carousing;Carousing!;;;;;;;;;x 
party_carousing_desc;This character is holding a small feast with a few select companions. This is a private function as opposed to the public court feasts.;;;;;;;;;x 
carouser;Carouser;;;;;;;;;x 
carouser_desc;This character likes to throw parties and have a good time with friends.;;;;;;;;;x 
dedicated_carouser;Dedicated Carouser;;;;;;;;;x 
dedidacted_carouser_desc;This character loves to throw parties and have a good time with friends.;;;;;;;;;x 
opinion_condemned_decadence;Condemned Decadence;;;;;;;;;x 
cannibal;Cannibal;;;;;;;;;x 
cannibal_desc;This character likes people...;;;;;;;;;x 
beaten_up;Beaten Up;;;;;;;;;x 
beaten_up_desc;This character was in a fight and ended up quite badly bruised.;;;;;;;;;x 
vice_royalty_duke_female_byzantine;Strategitissa;;;;;;;;;x 
vice_royalty_king_female_byzantine;Exarchessa;;;;;;;;;x 
epic_hangover;Epic Hangover;;;;;;;;;x 
epic_hangover_desc;Sometimes you can take carousing and revelry too far. At such times, there is a price to pay.;;;;;;;;;x 
EVTDESC_WoL_4000;Dear [Root.GetFirstName],\n\nI would like to invite you to join me for a small gathering of friends, to dine and drink and forget about the world outside for a little while. Please be prepared to reserve a few days for this, in case we get truly into the spirit of the proceedings.\n\nYours,\n[FromFrom.GetTitledName];;;;;;;;;x 
EVTOPTA_WoL_4000;Of course I will come!;;;;;;;;;x 
EVTOPTB_WoL_4000;Unfortunately I can't.;;;;;;;;;x 
EVTOPTC_WoL_4000;[FromFrom.GetHerHis] open decadence is shameful and I will tell [FromFrom.GetHerHim] so!;;;;;;;;;x 
EVTDESC_WoL_4001;Dear [GetFromReverseRelation],\n\nOf course I will come to feast with you. I will bring my best appetite for revelry!\n\nYours,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_WoL_4001;This should be fun!;;;;;;;;;x 
EVTDESC_WoL_4002;Dear [GetFromReverseRelation],\n\nUnfortunately I cannot join your for merrymaking at this time. But thank you for your kind invitation.\n\nUntil next time,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_WoL_4002;Ah, [From.GetSheHe] doesn't know what [From.GetSheHe]'s missing.;;;;;;;;;x 
EVTDESC_WoL_4003;Dear [GetFromReverseRelation],\n\nIt saddens me that you have turned into such a decadent wretch. Surely, [From.Religion.GetRandomEvilGodName] is laughing at your escapades but I for my part refuse to partake in them.\n\nIn hope of your eventual redemption,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_WoL_4003;What??;;;;;;;;;x 
EVTOPTB_WoL_4003;At least [From.Religion.GetRandomEvilGodName] has a sense of humor.;;;;;;;;;x 
EVTDESC_WoL_4011;Unfortunate circumstances have forced me to cancel the bout of carousing that I had planned.;;;;;;;;;x 
EVTDESC_WoL_4012;Dear [GetFromReverseRelation],\n\nUnfortunate circumstances force me to cancel the bout of carousing and merrymaking that we had planned. We will have to make up for it when times are happier.\n\nUntil then,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC_WoL_4015;No one accepted my inviation to carousing. One person makes no feast, so I will have to postpone it for later.;;;;;;;;;x 
EVTOPTA_WoL_4015;People are so boring!;;;;;;;;;x 
EVTDESC_WoL_4030;Your guests have arrived for the private feast you have arranged. It's time to let the carousing and merriment begin!;;;;;;;;;x 
EVTOPTA_WoL_4030;Let's get it started!;;;;;;;;;x 
EVTDESC_WoL_4031;You have arrived at the private rooms of [From.GetTitledFirstName]. There is plenty of food and drink here, and the mood is decidedly merry. You are looking forward to this.;;;;;;;;;x 
EVTOPTA_WoL_4031;Let's get... it started!;;;;;;;;;x 
EVTDESC_WoL_4101;Late into the third day of feasting, you sit awake, alone, contemplating the revelries. Next to you on a couch lies one of your companions, sleeping a deep drunken sleep, defenceless and beautiful, skin glowing in the candlelight.;;;;;;;;;x 
EVTOPTA_WoL_4101;How peaceful this is.;;;;;;;;;x 
EVTOPTB_WoL_4101;I think I will try some...;;;;;;;;;x 
EVTDESC_WoL_4111;Several days of feasting together, the attraction is growing, and I know we're thinking of the same thing here...;;;;;;;;;x 
EVTOPTA_WoL_4111;Let's do it!;;;;;;;;;x 
EVTOPTC_WoL_4111;No, we'd better not.;;;;;;;;;x 
EVTDESC_WoL_4112;Several days of feasting together, and you have several times caught [From.GetFirstName] looking at you in that 'special' way. Finally, after a late cup of wine, [From.GetSheHe] puts [From.GetHerHis] arms around you and whispers a delicious proposal in your ear...;;;;;;;;;x 
EVTOPTA_WoL_4112;Yes!;;;;;;;;;x 
EVTOPTB_WoL_4112;No!;;;;;;;;;x 
EVTDESC_WoL_4113;[From.GetFirstName] acceeded to your advances, and you spend the rest of the night together, enjoying each other...;;;;;;;;;x 
EVTOPTA_WoL_4113;I hope I'm not too drunk to remember this later!;;;;;;;;;x 
EVTDESC_WoL_4114;[From.GetFirstName] declined your amorous advances. You excuse yourself, then return to the pleasures of the table. Soon, the embarrassing moment is forgotten... almost.;;;;;;;;;x 
EVTOPTA_WoL_4114;Cheers!;;;;;;;;;x 
EVTDESC_WoL_4120;These days of revelry are an excellent escape. So many laughs and so many intense conversations in such short a time... it brings you closer to your companions, you feel like good friends already.;;;;;;;;;x 
EVTOPTA_WoL_4120;You're my... best friend!;;;;;;;;;x 
EVTDESC_WoL_4131;Is it the drink? Is it something someone said? You don't remember, honestly, but someone has to pay! Fight!;;;;;;;;;x 
EVTOPTA_WoL_4131;Put'em up!;;;;;;;;;x 
EVTDESC_WoL_4132;Good drinks and food, carousing, everything's fine. Or was fine, until [From.GetTitledFirstName] unexpectedly threw a fit of rage. You're not sure why, but [From.GetSheHe]'s coming at you right now with [From.GetHerHis] fists up.;;;;;;;;;x 
EVTOPTA_WoL_4132;Well, if that's what you want!;;;;;;;;;x 
EVTOPTB_WoL_4132;Listen to me and calm down...;;;;;;;;;x 
EVTOPTC_WoL_4132;I must escape and hide!;;;;;;;;;x 
EVTDESC_WoL_4133_fight;[From.GetTitledFirstName] put up a good fight, in spite of being just as inebriated as you. After a while you were both exhausted and had to call it a draw.;;;;;;;;;x 
EVTOPTA_WoL_4133;Ooh, that hurts!;;;;;;;;;x 
EVTDESC_WoL_4133_talk;[From.GetTitledFirstName] started speaking to you calmly, explaining that there was no need to be upset. You considered for a moment, and then realized that [From.GetSheHe] was right. You ended up sitting down to eat and drink together again.;;;;;;;;;x 
EVTOPTB_WoL_4133;I honestly don't remember what I was so angry about.;;;;;;;;;x 
EVTDESC_WoL_4133_hide;At the last moment, [From.GetSheHe] ran out, after throwing a chair at you and making you stumble. You searched everywhere but couldn't find [From.GetHerHim].;;;;;;;;;x 
EVTOPTC_WoL_4133;Maybe it's just as well. I'm not even angry anymore.;;;;;;;;;x 
EVTDESC_WoL_4141;This party needs some action! I'm going to get undressed. Then perhaps, yes, I'll bring some animals in here, and maybe, yes that spear. And, and... set fire to the table, roast the food over it, then... where are my pants? Oh, right, I took them off! What now, hahaha, there you are, oh, ouch!! I just sat on the spear, how... amusing. I don't know, why is everybody laughing - this is great!;;;;;;;;;x 
EVTOPTA_WoL_4141;Pass me the wine!;;;;;;;;;x 
EVTDESC_WoL_4142;[From.GetTitledFirstName] is feasting and revelling like a lunatic. You can hardly stand up, you're laughing so hard.;;;;;;;;;x 
EVTOPTA_WoL_4142;I must invite [From.GetHerHim] more often!;;;;;;;;;x 
EVTDESC_WoL_4151;We're having a great time carousing. My comrades say I should slow down on the drink, but that's all nonsense.;;;;;;;;;x 
EVTOPTA_WoL_4151;I can handle it!;;;;;;;;;x 
EVTDESC_WoL_4152_non_drunkard;[From.GetTitledFirstName] is clearly going overboard with [From.GetHerHis] drinking.;;;;;;;;;x 
EVTDESC_WoL_4152_drunkard;[From.GetTitledFirstName] is drinking like a champion!;;;;;;;;;x 
EVTOPTA_WoL_4152;[From.GetSheHeCap] should take it easier.;;;;;;;;;x 
EVTOPTB_WoL_4152;Cheers!;;;;;;;;;x 
EVTDESC_WoL_4800;The revelling and carousing is over... for now. Time to get back to real life.;;;;;;;;;x 
EVTOPTA_WoL_4800;Well, it was fun.;;;;;;;;;x 
EVTOPTB_WoL_4800;This is the real life!;;;;;;;;;x 
EVTOPTC_WoL_4800;Life is all about enjoying the company of others.;;;;;;;;;x 
POSS_PRONOUN_FEM;her;;;;;;;;;x 
OBJ_PRONOUN_FEM;her;;;;;;;;;x 
CURRENT_FOCUS;This is your current focus.;;;;;;;;;x 
CANNOT_CANCEL_CURRENT_FOCUS;Your current focus cannot be cancelled.;;;;;;;;;x 
CHOOSE_NEW_FOCUS;§GClick to Choose a new Focus§!;;;;;;;;;x 
studying_the_stars;Studying the Stars;;;;;;;;;x 
studying_the_stars_desc;This character has built an observatory and spends any clear nights studying the stars above...;;;;;;;;;x 
heliocentrist_scholar;Heliocentrist Scholar;;;;;;;;;x 
heliocentrist_scholar_desc;This character has done research to prove that the Earth revolves around the Sun.;;;;;;;;;x 
weird_scholar;Weird Scholar;;;;;;;;;x 
weird_scholar_desc;This character has done research into the strange and mysterious...;;;;;;;;;x 
the_necronomicon;The Necronomicon;;;;;;;;;x 
the_necronomicon_desc;This character possesses a copy of the mysterious book known as The Necronomicon.;;;;;;;;;x 
build_observatory;Build Observatory;;;;;;;;;x 
build_observatory_desc;I can invest in building an observatory to start studying the stars and other celestial bodies. Who knows what I might learn?;;;;;;;;;x 
EVTDESC_WoL_6000;You have begun construction of an observatory. It will take some time to collect all the necessary materials and get everything in order.;;;;;;;;;x 
EVTOPTA_WoL_6000;I can't wait!;;;;;;;;;x 
EVTDESC_WoL_6010;Your observatory is finally ready. It is with great anticipation that you prepare to make your first observations.;;;;;;;;;x 
EVTOPTA_WoL_6010;I wonder what strange things I will discover.;;;;;;;;;x 
EVTDESC_WoL_6020;You have spent many nights looking at the stars in your observatory. It is truly fascinating, there are so many questions to ask...;;;;;;;;;x 
EVTOPTA_WoL_6020;How do the stars move?;;;;;;;;;x 
EVTOPTB_WoL_6020;Is there something... strange out there?;;;;;;;;;x 
EVTDESC_WoL_6100;Observing the movements of the stars at night, you have begun to see some regular patterns. These observations, however, have raised many new questions. You are starting to wonder, for example, if the Earth is really at the center of it all.;;;;;;;;;x 
EVTOPTA_WoL_6100;Interesting...;;;;;;;;;x 
EVTDESC_WoL_6110;The reasearch you conduct in your observatory at night is proving deeply fascinating. You could push your studies further, but you'd need to purchase more equipment for it to be meaningful.;;;;;;;;;x 
EVTOPTA_WoL_6110;I must move forward!;;;;;;;;;x 
EVTOPTB_WoL_6110;No, this is proving too expensive.;;;;;;;;;x 
EVTDESC_WoL_6122;One morning, your [GetFromRelation] [From.GetTitledFirstName] comes to see you. [From.GetSheHeCap] says: 'I am worried. I have heard that you are spending late nights studying the sky and entertaining heretical notions about the cosmos. I would ask that you stop, for your own sake.';;;;;;;;;x 
EVTOPTA_WoL_6122;Don't worry, I'm fine...;;;;;;;;;x 
EVTOPTB_WoL_6122;Stay out of my business!;;;;;;;;;x 
EVTOPTC_WoL_6122;It is not what you think, I am only... writing poetry.;;;;;;;;;x 
EVTDESC_WoL_6130;You nightly studies of the movements of the celestial bodies are increasing your knowledge of a great many things. You feel that you are getting closer to understanding the universe.;;;;;;;;;x 
EVTOPTA_WoL_6130;I sense a harmony out there...;;;;;;;;;x 
EVTDESC_WoL_6140;Working in your observatory, lately you are often frustrated by broken equipment, weeks on end of cloudy weather and frequent interruptions by curious intruders and even animals. It's very hard to maintain concentration and get anything done.;;;;;;;;;x 
EVTOPTA_WoL_6140;I must persist, the truth is out there.;;;;;;;;;x 
EVTOPTB_WoL_6140;It's no use!;;;;;;;;;x 
EVTDESC_WoL_6152;Dear [Root.GetTitledName],\nI have been told that you are pursuing studies in fields that deny the truths of [Root.Religion.GetRandomGodName]. I am certain that such rumors are only slander and that you would never do such a thing. If it were true, however, I would be most disappointed.\n\nIn the name of [Root.Religion.GetRandomGodName],\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_WoL_6152;The [From.GetTitle] should stay out of my business!;;;;;;;;;x 
EVTOPTB_WoL_6152;The best answer to this is silence.;;;;;;;;;x 
EVTOPTC_WoL_6152;I must not challenge conventional wisdom.;;;;;;;;;x 
EVTDESC_WoL_6160;You studies of the celestial spheres are progressing well. You see movements and relationships that you had never dared guess at. It seems clear to you now that the laws that guide the movements of the stars must also be reflected on Earth in some way..;;;;;;;;;x 
EVTOPTA_WoL_6160;And what is Earth?;;;;;;;;;x 
EVTDESC_WoL_6170;You are sure you have made a breakthrough in your studies. Yes, it cannot be otherwise. The Earth is round, and it revolves around the Sun. How little we know of the Universe!;;;;;;;;;x 
EVTOPTA_WoL_6170;I must publish my findings!;;;;;;;;;x 
EVTOPTB_WoL_6170;I will continue my studies in secret.;;;;;;;;;x 
EVTOPTC_WoL_6170;I will stop with this achievement.;;;;;;;;;x 
EVTOPTD_WoL_6170;No! This is [Root.Religion.GetRandomEvilGodName] speaking!;;;;;;;;;x 
EVTDESC_WoL_6300;Observing the stars at night, you have begun to sense some irregular movements. You also notice that some stars seem to appear and disappear at odd times. You need to study this more...;;;;;;;;;x 
EVTOPTA_WoL_6300;That star there disappears when I look directly at it.;;;;;;;;;x 
EVTDESC_WoL_6322;One morning, your [GetFromRelation] [From.GetTitledFirstName] comes to see you. [From.GetSheHeCap] says: 'I am worried. I have heard that you are spending late nights staring at the sky, speaking in odd riddles and entertaining heretical notions about the cosmos. I would ask that you stop, for your own sake.';;;;;;;;;x 
EVTOPTA_WoL_6322;I am only admiring the beauty of the stars.;;;;;;;;;x 
EVTOPTB_WoL_6322;There are strange things out there and I need to see them!;;;;;;;;;x 
EVTOPTC_WoL_6322;What you heard are lies.;;;;;;;;;x 
EVTDESC_WoL_6330;The studies you have conducted in your observatory have convinced you that there are many strange things beyond the known cosmos. There are few sources and no one to share knowledge with you, however. But you have heard of a strange old scholar in the Arabian Desert who is rumored to possess vast knowledge of the weird.;;;;;;;;;x 
EVTOPTA_WoL_6330;I will go and see him.;;;;;;;;;x 
EVTOPTB_WoL_6330;No, this frightens me. I should stop.;;;;;;;;;x 
EVTTITLE_WoL_6331;The Necronomicon;;;;;;;;;x 
EVTDESC_WoL_6331;You arrive at the abode of the strange old scholar Ibrahim. After some persuasion, he invites you in. You speak at length, and he tells of you of the scholar Abdul the Mad, who knew many things of the strange spheres beyond and of talking beings that are not human. You find out that Abdul the Mad wrote a book called the Necronomicon, in which he recorded many strange and unholy truths. Ibrahim says that as he is impressed by your sincerity and desire for knowledge, he can sell you a copy of the book. He tells you to beware, however, as too much intense study of the Necronomicon is said to drive the reader insane...;;;;;;;;;x 
EVTOPTA_WoL_6331;Yes, I must have it!;;;;;;;;;x 
EVTOPTB_WoL_6331;No, thanks.;;;;;;;;;x 
EVTDESC_WoL_6336;Shortly after the death of your [GetFromRelation] [From.GetTitledFirstNameWithNick], you are brought a strange piece of news. It seems that [From.GetHerHis] library was raided, the only item stolen being a strange old book of Arabian origin. Two servants who were in the library at the time were found dead, though witnesses refused to describe the state of the bodies.;;;;;;;;;x 
EVTOPTA_WoL_6336;Strange...;;;;;;;;;x 
EVTDESC_WoL_6340;Working in your observatory, you are often disturbed by strange noises, uncannily large insects carrying away smaller pieces of equipment and odd human-like figures spying on you and then disappearing into the night before you can confront them. You really struggle to maintain concentration and get anything done.;;;;;;;;;x 
EVTOPTA_WoL_6340;I must focus!;;;;;;;;;x 
EVTOPTB_WoL_6340;It's no use, I should give this up.;;;;;;;;;x 
EVTDESC_WoL_6350;The book you bought from the strange desert scholar has proven quite useful for gaining new ideas and insights in your studies of the stars and what lies beyond. It does, however, contain some quite disturbing texts and images, things that lead towards a level of understanding that might make one... mad.;;;;;;;;;x 
EVTOPTA_WoL_6350;I should leave it on the shelf for now.;;;;;;;;;x 
EVTOPTB_WoL_6350;I must delve deeper!;;;;;;;;;x 
EVTDESC_WoL_6360;Great wisdom comes to those who study the world and learn from it. Your studies of the stars and other things beyond this world have taken you on very strange paths, and your learning has increased immeasurably since you started.;;;;;;;;;x 
EVTOPTA_WoL_6360;The stars are right!;;;;;;;;;x 
EVTDESC_WoL_6370;You are finally certain, absolutely certain. There are things you understand now that lie beyond the ken of normal [Root.GetMenWomen]. If they knew, oh if they knew! But it is the task of scholars such as you to keep and preserve such things in secret, lest all humanity go insane with the knowledge of its own insignificance.;;;;;;;;;x 
EVTOPTA_WoL_6370;I shall be a devoted keeper of elder secrets.;;;;;;;;;x 
EVTOPTB_WoL_6370;I will hide this and dedicate myself to other things.;;;;;;;;;x 
IS_HOLY_SITE_OF;Is holy site of $RELIGION$.;;;;;;;;;x 
IS_NOT_HOLY_SITE_OF;Is not holy site of $RELIGION$.;;;;;;;;;x 
theologian;Theologian;;;;;;;;;x 
theologian_desc;This character is dedicating [GetHerHis] life to religious studies.;;;;;;;;;x 
religious_studies;Religious Studies;;;;;;;;;x 
religious_studies_desc;This character is a seeker of religious knowledge and insights.;;;;;;;;;x 
religious_philosopher;Religious Philosopher;;;;;;;;;x 
religious_philosopher_desc;This character is an experienced and dedicated seeker of religious knowledge and insights.;;;;;;;;;x 
EVTDESC_WoL_7000_non_unref_pagan;There are many mysteries in the [Root.Religion.GetName] faith. It might be interesting to spend some time delving into the old texts of  [Root.Religion.GetScriptureName].;;;;;;;;;x 
EVTDESC_WoL_7000_unref_pagan;There are many mysteries in the [Root.Religion.GetName] faith. It might be interesting to listen more to the ancient stories told by the [Root.Religion.GetPriestTitle]s.;;;;;;;;;x 
EVTOPTA_WoL_7000;I will dedicate more time to reading the scriptures.;;;;;;;;;x 
EVTOPTB_WoL_7000;I shall summon storytellers.;;;;;;;;;x 
EVTOPTC_WoL_7000;No, I have no time for this.;;;;;;;;;x 
EVTDESC_WoL_7001_non_unref_pagan;In the past few months, you have been spending many nights reading [Root.Religion.GetScriptureName]. The texts contain many items of wisdom and also give hints to the most important mysteries of [Root.Religion.GetRandomGodName].;;;;;;;;;x 
EVTDESC_WoL_7001_unref_pagan;In the past few months, you have spent many nights listening to the old myths and stories of the [Root.Religion.GetName] faith. The tales told of [Root.Religion.GetRandomGodName] are most inspiring and contain much wisdom that can help you in your daily life.;;;;;;;;;x 
EVTOPTA_WoL_7001;These sacred texts illuminate me.;;;;;;;;;x 
EVTOPTB_WoL_7001;It is wise to listen and ponder.;;;;;;;;;x 
ancient_wisdom;Ancient Wisdom;;;;;;;;;x 
ancient_wisdom_desc;The ancient myths and stories contain many words of wisdom.;;;;;;;;;x 
EVTDESC_WoL_7012;Your dedication to religious pursuits has been noticed around the realm. Among others, it has quite impressed [From.GetTitledName]. You have maintained correspondence on various religious and philosophical matters for some time, and find that you are rapidly becoming good friends.;;;;;;;;;x 
EVTOPTA_WoL_7012;Our common interests bind us together.;;;;;;;;;x 
